,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
0,0,0,"[0.0, 1.0]",80,0.005466222813291764,0.9567020246551434,0.43729782506334114,76.53616197241148
1,1,0,"[0.0, 1.0]",80,0.014789558120881282,0.9660274214805403,1.1831646496705026,77.28219371844322
2,2,0,"[0.0, 1.0]",80,0.011164796809845935,0.9624559929091114,0.8931837447876747,76.99647943272892
3,3,0,"[0.0, 1.0]",80,0.009577495222544412,0.9608686913218097,0.766199617803553,76.86949530574478
4,4,0,"[0.0, 1.0]",80,0.012609079966899936,0.9638448817980008,1.0087263973519949,77.10759054384006
5,5,0,"[0.0, 1.0]",80,0.03641860377642372,0.9876544056075245,2.9134883021138975,79.01235244860196
6,6,0,"[0.0, 1.0]",80,0.0022517230981148125,0.9535274214805401,0.180137847849185,76.28219371844321
7,7,0,"[0.0, 1.0]",80,0.01399796885576439,0.9652337706868892,1.1198375084611512,77.21870165495113
8,8,0,"[0.0, 1.0]",80,0.006047713281904517,0.9572972627503816,0.48381706255236134,76.58378102003053
9,9,0,"[0.0, 1.0]",80,0.0145396999884916,0.9658290087821275,1.163175999079328,77.2663207025702
10,10,0,"[0.0, 1.0]",80,0.012210310428263668,0.9634480564011753,0.9768248342610935,77.07584451209402
11,11,0,"[0.0, 1.0]",80,0.0032816216919650844,0.9545194849726034,0.26252973535720675,76.36155879780827
12,12,0,"[0.0, 1.0]",80,0.005410832586987898,0.9567020246551434,0.43286660695903184,76.53616197241148
13,13,0,"[0.0, 1.0]",80,0.008585431730480889,0.9598766278297463,0.6868345384384711,76.7901302263797
14,14,0,"[0.0, 1.0]",80,0.007198394401189824,0.9584877389408574,0.5758715520951859,76.67901911526859
15,15,0,"[0.0, 1.0]",80,0.003426705602861014,0.954717897671016,0.2741364482288811,76.37743181368128
16,16,0,"[0.0, 1.0]",80,0.011164796809845957,0.9624559929091114,0.8931837447876766,76.99647943272892
17,17,0,"[0.0, 1.0]",80,0.004220352365415987,0.9555115484646668,0.3376281892332789,76.44092387717335
18,18,0,"[0.0, 1.0]",80,0.019751937109570683,0.9709877389408577,1.5801549687656546,77.67901911526862
19,19,0,"[0.0, 1.0]",80,0.010807710948695688,0.962059167512286,0.8646168758956551,76.96473340098288
20,0,1,"[0.015306263339771234, 0.9846937366602289]",80,0.011601462333639628,0.9628528183059366,0.9281169866911703,77.02822546447493
21,1,1,"[0.015306263339771234, 0.9846937366602289]",80,0.009777528540382321,0.9610671040202226,0.7822022832305857,76.8853683216178
22,2,1,"[0.015306263339771234, 0.9846937366602289]",80,0.00759336823841744,0.9588845643376829,0.6074694590733952,76.71076514701463
23,3,1,"[0.015306263339771234, 0.9846937366602289]",80,0.01791271524296258,0.9692020246551433,1.4330172194370063,77.53616197241146
24,4,1,"[0.015306263339771234, 0.9846937366602289]",80,0.002079459313650678,0.9533290087821271,0.16635674509205423,76.26632070257017
25,5,1,"[0.015306263339771234, 0.9846937366602289]",80,0.008388639651493402,0.959678215131334,0.6710911721194722,76.77425721050672
26,6,1,"[0.015306263339771234, 0.9846937366602289]",80,0.011761886464681837,0.9630512310043494,0.9409509171745469,77.04409848034796
27,7,1,"[0.015306263339771234, 0.9846937366602289]",80,0.0163254095678051,0.9676147230678417,1.306032765424408,77.40917784542734
28,8,1,"[0.015306263339771234, 0.9846937366602289]",80,0.0030314926796759754,0.9543210722741907,0.24251941437407804,76.34568578193526
29,9,1,"[0.015306263339771234, 0.9846937366602289]",80,0.016180508538328198,0.9674163103694289,1.2944406830662558,77.39330482955431
30,10,1,"[0.015306263339771234, 0.9846937366602289]",80,0.024261922212129656,0.9755512310043498,1.9409537769703724,78.04409848034798
31,11,1,"[0.015306263339771234, 0.9846937366602289]",80,0.005412680115475567,0.9567020246551431,0.43301440923804535,76.53616197241145
32,12,1,"[0.015306263339771234, 0.9846937366602289]",80,0.013744258409262045,0.9650353579884765,1.0995406727409636,77.20282863907812
33,13,1,"[0.015306263339771234, 0.9846937366602289]",80,0.01711723922030175,0.9684083738614927,1.36937913762414,77.47266990891941
34,14,1,"[0.015306263339771234, 0.9846937366602289]",80,0.013402726052724153,0.964638532591651,1.0722180842179323,77.17108260733208
35,15,1,"[0.015306263339771234, 0.9846937366602289]",80,0.0016428745930821091,0.9529321833853018,0.13142996744656874,76.23457467082414
36,16,1,"[0.015306263339771234, 0.9846937366602289]",80,0.014339461442524053,0.9656305960837146,1.1471569154019243,77.25044768669717
37,17,1,"[0.015306263339771234, 0.9846937366602289]",80,0.007648762506582465,0.9588845643376832,0.6119010005265972,76.71076514701465
38,18,1,"[0.015306263339771234, 0.9846937366602289]",80,0.02049208094228832,0.971781389734508,1.6393664753830657,77.74251117876064
39,19,1,"[0.015306263339771234, 0.9846937366602289]",80,0.00858543173048093,0.9598766278297461,0.6868345384384744,76.79013022637969
40,0,2,"[0.03074443800749534, 0.9692555619925047]",80,0.003839024685416325,0.9551147230678418,0.307121974833306,76.40917784542735
41,1,2,"[0.03074443800749534, 0.9692555619925047]",80,0.0009027307605509287,0.952138532591651,0.0722184608440743,76.17108260733208
42,2,2,"[0.03074443800749534, 0.9692555619925047]",80,0.009632618013697788,0.9608686913218097,0.7706094410958231,76.86949530574478
43,3,2,"[0.03074443800749534, 0.9692555619925047]",80,0.023835170389816713,0.967228680969843,1.906813631185337,77.37829447758745
44,4,2,"[0.03074443800749534, 0.9692555619925047]",80,0.005252155393140117,0.9565036119567305,0.4201724314512094,76.52028895653844
45,5,2,"[0.03074443800749534, 0.9692555619925047]",80,0.009379082524131707,0.960670278623397,0.7503266019305366,76.85362228987177
46,6,2,"[0.03074443800749534, 0.9692555619925047]",80,0.013942670498475081,0.9652337706868896,1.1154136398780066,77.21870165495118
47,7,2,"[0.03074443800749534, 0.9692555619925047]",80,0.005662656227177175,0.9569004373535558,0.453012498174174,76.55203498828446
48,8,2,"[0.03074443800749534, 0.9692555619925047]",80,0.007831520472505243,0.9590829770360955,0.6265216378004195,76.72663816288764
49,9,2,"[0.03074443800749534, 0.9692555619925047]",80,0.016297375105094537,0.9596889984301604,1.3037900084075629,76.77511987441284
50,10,2,"[0.03074443800749534, 0.9692555619925047]",80,0.022871242546997083,0.974162342115461,1.8296994037597667,77.93298736923688
51,11,2,"[0.03074443800749534, 0.9692555619925047]",80,0.02427553262189965,0.9755512310043499,1.9420426097519718,78.044098480348
52,12,2,"[0.03074443800749534, 0.9692555619925047]",80,0.010783464422034084,0.9620591675122862,0.8626771537627267,76.9647334009829
53,13,2,"[0.03074443800749534, 0.9692555619925047]",80,0.009817554551745742,0.9610671040202229,0.7854043641396593,76.88536832161783
54,14,2,"[0.03074443800749534, 0.9692555619925047]",80,0.004817477767685196,0.9561067865599056,0.3853982214148157,76.48854292479244
55,15,2,"[0.03074443800749534, 0.9692555619925047]",80,0.009394575533145199,0.9606702786233973,0.7515660426516159,76.85362228987178
56,16,2,"[0.03074443800749534, 0.9692555619925047]",80,0.011418568026364623,0.9626544056075244,0.9134854421091698,77.01235244860194
57,17,2,"[0.03074443800749534, 0.9692555619925047]",80,0.0036406119870036765,0.954916310369429,0.2912489589602941,76.39330482955432
58,18,2,"[0.03074443800749534, 0.9692555619925047]",80,0.012752159855222465,0.964043294496413,1.0201727884177971,77.12346355971304
59,19,2,"[0.03074443800749534, 0.9692555619925047]",80,0.010823365681185606,0.9620591675122865,0.8658692544948484,76.96473340098292
60,0,3,"[0.04625577387264407, 0.9537442261273559]",80,0.022728127585947604,0.9739639294170482,1.8182502068758084,77.91711435336386
61,1,3,"[0.04625577387264407, 0.9537442261273559]",80,0.043876740184645976,0.9872683635095264,3.510139214771678,78.98146908076211
62,2,3,"[0.04625577387264407, 0.9537442261273559]",80,0.00249003234785242,0.953725834178953,0.1992025878281936,76.29806673431624
63,3,3,"[0.04625577387264407, 0.9537442261273559]",80,0.006204479349528545,0.9574956754487939,0.49635834796228356,76.59965403590351
64,4,3,"[0.04625577387264407, 0.9537442261273559]",80,0.0022916196494397302,0.9535274214805401,0.1833295719551784,76.28219371844321
65,5,3,"[0.04625577387264407, 0.9537442261273559]",80,0.017569397427192934,0.9688051992583178,1.4055517941754347,77.50441594066542
66,6,3,"[0.04625577387264407, 0.9537442261273559]",80,0.005807653952703189,0.9570988500519684,0.46461231621625515,76.56790800415747
67,7,3,"[0.04625577387264407, 0.9537442261273559]",80,0.015529937633000247,0.9668210722741909,1.2423950106400197,77.34568578193527
68,8,3,"[0.04625577387264407, 0.9537442261273559]",80,0.0067998139755685635,0.9580909135440324,0.5439851180454851,76.64727308352259
69,9,3,"[0.04625577387264407, 0.9537442261273559]",80,0.013349219091614522,0.9646385325916516,1.0679375273291618,77.17108260733212
70,10,3,"[0.04625577387264407, 0.9537442261273559]",80,0.01995034980816973,0.9711861516392706,1.5960279846535785,77.69489213114164
71,11,3,"[0.04625577387264407, 0.9537442261273559]",80,0.015982095839915927,0.9672178976710158,1.2785676671932742,77.37743181368127
72,12,3,"[0.04625577387264407, 0.9537442261273559]",80,0.027210073517954746,0.970601696842859,2.1768058814363798,77.64813574742873
73,13,3,"[0.04625577387264407, 0.9537442261273559]",80,0.00582315166954333,0.9570988500519686,0.4658521335634664,76.56790800415749
