,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
0,0,0,"[0.0, 1.0]",80,0.4549763033175349,0.908975208736924,36.39810426540279,72.71801669895392
1,1,0,"[0.0, 1.0]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722
2,2,0,"[0.0, 1.0]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892
3,3,0,"[0.0, 1.0]",80,0.5487263033175362,0.9989424765234866,43.8981042654029,79.91539812187892
4,4,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813
5,5,0,"[0.0, 1.0]",80,0.5467934441790362,0.9970485371295471,43.7434755343229,79.76388297036377
6,6,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813
7,7,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813
8,8,0,"[0.0, 1.0]",80,0.5451212570966673,0.9991267238884405,43.60970056773338,79.93013791107524
9,9,0,"[0.0, 1.0]",80,0.5500054384429136,0.9964855018858053,44.00043507543309,79.71884015086442
10,10,0,"[0.0, 1.0]",80,0.5515539441267115,0.9980006534009569,44.124315530136926,79.84005227207655
11,11,0,"[0.0, 1.0]",80,0.5176332730325084,0.9678818704628798,41.410661842600675,77.43054963703038
12,12,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813
13,13,0,"[0.0, 1.0]",80,0.5432328970898525,0.997232784494501,43.458631767188194,79.77862275956008
14,14,0,"[0.0, 1.0]",80,0.5292187275599605,0.9832176329793494,42.33749820479684,78.65741063834795
15,15,0,"[0.0, 1.0]",80,0.5460540786165555,0.9962909613719713,43.68432628932444,79.7032769097577
16,16,0,"[0.0, 1.0]",80,0.5467934441790362,0.9970485371295471,43.7434755343229,79.76388297036377
17,17,0,"[0.0, 1.0]",80,0.5390672124084454,0.9930661178278342,43.125376992675626,79.44528942622674
18,18,0,"[0.0, 1.0]",80,0.5467934441790362,0.9970485371295471,43.7434755343229,79.76388297036377
19,19,0,"[0.0, 1.0]",80,0.5467934441790362,0.9970485371295471,43.7434755343229,79.76388297036377
20,0,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5572490305902635,0.9961170071558975,44.57992244722109,79.6893605724718
21,1,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5439840299270611,0.9979903602520768,43.51872239416488,79.83922882016614
22,2,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5467934441790362,0.9970485371295471,43.7434755343229,79.76388297036377
23,3,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892
24,4,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5451212570966673,0.9991267238884405,43.60970056773338,79.93013791107524
25,5,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813
26,6,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892
27,7,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5515672124084454,0.9980006534009569,44.12537699267563,79.84005227207655
28,8,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5402034464801155,0.9942024814641979,43.21627571840924,79.53619851713583
29,9,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813
30,10,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5515539441267115,0.9980006534009569,44.124315530136926,79.84005227207655
31,11,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5390671953460011,0.9930661178278342,43.12537562768009,79.44528942622674
32,12,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5500054384429136,0.9964855018858053,44.00043507543309,79.71884015086442
33,13,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5439914378080226,0.9979903602520768,43.519315024641806,79.83922882016614
34,14,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5365918065535296,0.9868212644022742,42.92734452428237,78.94570115218194
35,15,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5451212570966673,0.9991267238884405,43.60970056773338,79.93013791107524
36,16,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892
37,17,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5487263033175362,0.9989424765234866,43.8981042654029,79.91539812187892
38,18,1,"[0.015231899172988693, 0.9847681008270113]",80,0.5540018712553596,0.9966800423996393,44.320149700428765,79.73440339197114
