,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation
0,0,0,"[0.0, 1.0]",80,0.05540715208961674,0.9482740340746408,4.432572167169339,75.86192272597127,2,0.9,1000,False,True
1,1,0,"[0.0, 1.0]",80,0.08717400451699293,0.9952231447465776,6.9739203613594345,79.6178515797262,2,0.9,1000,False,True
2,2,0,"[0.0, 1.0]",80,0.09063256904516079,0.9986322356556686,7.2506055236128635,79.89057885245349,2,0.9,1000,False,True
3,3,0,"[0.0, 1.0]",80,0.14964045656451308,0.9652490418551014,11.971236525161046,77.21992334840812,2,0.9,1000,False,True
4,4,0,"[0.0, 1.0]",80,0.08264179629062467,0.9906776902011231,6.611343703249974,79.25421521608985,2,0.9,1000,False,True
5,5,0,"[0.0, 1.0]",80,0.08192230360476814,0.9823546500166698,6.553784288381451,78.58837200133358,2,0.9,1000,False,True
6,6,0,"[0.0, 1.0]",80,0.08911927271012661,0.997117084140517,7.1295418168101286,79.76936673124136,2,0.9,1000,False,True
7,7,0,"[0.0, 1.0]",80,0.06524251419333318,0.9732534477768804,5.219401135466654,77.86027582215043,2,0.9,1000,False,True
8,8,0,"[0.0, 1.0]",80,0.06600008995090897,0.9664455591075785,5.280007196072718,77.31564472860627,2,0.9,1000,False,True
9,9,0,"[0.0, 1.0]",80,0.08684654543739931,0.9872788924409124,6.947723634991944,78.98231139527299,2,0.9,1000,False,True
10,10,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,2,0.9,1000,False,True
11,11,0,"[0.0, 1.0]",80,0.08381624299735616,0.9918140538374868,6.705299439788493,79.34512430699894,2,0.9,1000,False,True
12,12,0,"[0.0, 1.0]",80,0.07131624299870758,0.9793140538374864,5.705299439896606,78.34512430699891,2,0.9,1000,False,True
13,13,0,"[0.0, 1.0]",80,0.06746377938832768,0.9431389617261274,5.397102351066214,75.4511169380902,2,0.9,1000,False,True
14,14,0,"[0.0, 1.0]",80,0.08304554441844836,0.9759255492261559,6.643643553475869,78.07404393809247,2,0.9,1000,False,True
