,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes
0,0,0,"[0.0, 1.0]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,1,0.9,1000,False,True,"[128, 128]"
1,1,0,"[0.0, 1.0]",80,0.0954808277520105,0.9959910136530337,7.63846622016084,79.67928109224269,1,0.9,1000,False,True,"[128, 128]"
2,2,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,1,0.9,1000,False,True,"[128, 128]"
3,3,0,"[0.0, 1.0]",80,0.08874048542294996,0.9967382962617292,7.099238833835997,79.73906370093833,1,0.9,1000,False,True,"[128, 128]"
4,4,0,"[0.0, 1.0]",80,0.09132715212562252,0.9918243469863667,7.306172170049802,79.34594775890933,1,0.9,1000,False,True,"[128, 128]"
5,5,0,"[0.0, 1.0]",80,0.08604903086719812,0.9940867811102139,6.883922469375849,79.52694248881711,1,0.9,1000,False,True,"[128, 128]"
6,6,0,"[0.0, 1.0]",80,0.08452274392976006,0.9925716295950625,6.761819514380805,79.405730367605,1,0.9,1000,False,True,"[128, 128]"
7,7,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,1,0.9,1000,False,True,"[128, 128]"
8,8,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,1,0.9,1000,False,True,"[128, 128]"
9,9,0,"[0.0, 1.0]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,1,0.9,1000,False,True,"[128, 128]"
10,10,0,"[0.0, 1.0]",80,0.08491452356335191,0.9929504174738504,6.793161885068153,79.43603339790803,1,0.9,1000,False,True,"[128, 128]"
11,11,0,"[0.0, 1.0]",80,0.09510203987322262,0.9956122257742457,7.60816318985781,79.64897806193966,1,0.9,1000,False,True,"[128, 128]"
12,12,0,"[0.0, 1.0]",80,0.0788920005744619,0.9868898114132441,6.311360045956952,78.95118491305952,1,0.9,1000,False,True,"[128, 128]"
13,13,0,"[0.0, 1.0]",80,0.08983851077694885,0.9978746598980928,7.187080862155908,79.82997279184742,1,0.9,1000,False,True,"[128, 128]"
14,14,0,"[0.0, 1.0]",80,0.07889200057444154,0.9868898114132441,6.311360045955324,78.95118491305952,1,0.9,1000,False,True,"[128, 128]"
15,15,0,"[0.0, 1.0]",80,0.08305866724113163,0.9910564780799108,6.644693379290531,79.28451824639286,1,0.9,1000,False,True,"[128, 128]"
16,16,0,"[0.0, 1.0]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,1,0.9,1000,False,True,"[128, 128]"
17,17,0,"[0.0, 1.0]",80,0.08911901417910859,0.997117084140517,7.129521134328686,79.76936673124136,1,0.9,1000,False,True,"[128, 128]"
18,18,0,"[0.0, 1.0]",80,0.09435745515592554,0.9948546500166697,7.548596412474043,79.58837200133358,1,0.9,1000,False,True,"[128, 128]"
19,19,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,1,0.9,1000,False,True,"[128, 128]"
20,0,1,"[0.03418479148046934, 0.9658152085195307]",80,0.08532953874213038,0.9857637409257605,6.826363099370431,78.86109927406083,1,0.9,1000,False,True,"[128, 128]"
21,1,1,"[0.03418479148046934, 0.9658152085195307]",80,0.07889199998285379,0.9868898114132441,6.311359998628303,78.95118491305952,1,0.9,1000,False,True,"[128, 128]"
22,2,1,"[0.03418479148046934, 0.9658152085195307]",80,0.10042769487691602,0.9933497916503985,8.034215590153282,79.46798333203188,1,0.9,1000,False,True,"[128, 128]"
23,3,1,"[0.03418479148046934, 0.9658152085195307]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,1,0.9,1000,False,True,"[128, 128]"
24,4,1,"[0.03418479148046934, 0.9658152085195307]",80,0.08829684909531946,0.9887940439560637,7.063747927625556,79.1035235164851,1,0.9,1000,False,True,"[128, 128]"
25,5,1,"[0.03418479148046934, 0.9658152085195307]",80,0.0954808277520105,0.9959910136530337,7.63846622016084,79.67928109224269,1,0.9,1000,False,True,"[128, 128]"
26,6,1,"[0.03418479148046934, 0.9658152085195307]",80,0.08341088583433026,0.9838698015318211,6.672870866746421,78.70958412254569,1,0.9,1000,False,True,"[128, 128]"
27,7,1,"[0.03418479148046934, 0.9658152085195307]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,1,0.9,1000,False,True,"[128, 128]"
28,8,1,"[0.03418479148046934, 0.9658152085195307]",80,0.09139200057446512,0.9993898114132443,7.311360045957209,79.95118491305955,1,0.9,1000,False,True,"[128, 128]"
29,9,1,"[0.03418479148046934, 0.9658152085195307]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,1,0.9,1000,False,True,"[128, 128]"
30,10,1,"[0.03418479148046934, 0.9658152085195307]",80,0.0868082077466458,0.9872788924409124,6.944656619731664,78.98231139527299,1,0.9,1000,False,True,"[128, 128]"
31,11,1,"[0.03418479148046934, 0.9658152085195307]",80,0.08187122877824486,0.9899201144435471,6.549698302259589,79.19360915548377,1,0.9,1000,False,True,"[128, 128]"
32,12,1,"[0.03418479148046934, 0.9658152085195307]",80,0.08188422053304883,0.9899201144435471,6.550737642643907,79.19360915548377,1,0.9,1000,False,True,"[128, 128]"
