,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes
0,0,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
1,1,0,"[0.0, 1.0]",80,0.027755636927839684,0.9357534477768794,2.2204509542271746,74.86027582215036,0,0.9,100,False,True,"[128, 64, 32]"
2,2,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
3,3,0,"[0.0, 1.0]",80,0.05161927330173801,0.9596170841405165,4.129541864139041,76.76936673124132,0,0.9,100,False,True,"[128, 64, 32]"
4,4,0,"[0.0, 1.0]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,100,False,True,"[128, 64, 32]"
5,5,0,"[0.0, 1.0]",80,0.058816242407096445,0.9668140538374862,4.705299392567715,77.3451243069989,0,0.9,100,False,True,"[128, 64, 32]"
6,6,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,100,False,True,"[128, 64, 32]"
7,7,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
8,8,0,"[0.0, 1.0]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
9,9,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
10,10,0,"[0.0, 1.0]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,100,False,True,"[128, 64, 32]"
11,11,0,"[0.0, 1.0]",80,0.016392000574465267,0.9243898114132436,1.3113600459572214,73.95118491305949,0,0.9,100,False,True,"[128, 64, 32]"
12,12,0,"[0.0, 1.0]",80,0.06032953874213063,0.9683292053526378,4.82636309937045,77.46633642821102,0,0.9,100,False,True,"[128, 64, 32]"
13,13,0,"[0.0, 1.0]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
14,14,0,"[0.0, 1.0]",80,0.02624048542294708,0.9342382962617279,2.0992388338357664,74.73906370093823,0,0.9,100,False,True,"[128, 64, 32]"
15,15,0,"[0.0, 1.0]",80,0.05730109148337822,0.9652989023223346,4.5840873186702575,77.22391218578677,0,0.9,100,False,True,"[128, 64, 32]"
16,16,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
17,17,0,"[0.0, 1.0]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
18,18,0,"[0.0, 1.0]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,100,False,True,"[128, 64, 32]"
19,19,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
20,0,1,"[0.034244340261656014, 0.965755659738344]",80,0.05464957633204102,0.9626473871708197,4.371966106563281,77.01179097366557,0,0.9,100,False,True,"[128, 64, 32]"
21,1,1,"[0.034244340261656014, 0.965755659738344]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
22,2,1,"[0.034244340261656014, 0.965755659738344]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,100,False,True,"[128, 64, 32]"
23,3,1,"[0.034244340261656014, 0.965755659738344]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
24,4,1,"[0.034244340261656014, 0.965755659738344]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,100,False,True,"[128, 64, 32]"
25,5,1,"[0.034244340261656014, 0.965755659738344]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
26,6,1,"[0.034244340261656014, 0.965755659738344]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
27,7,1,"[0.034244340261656014, 0.965755659738344]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,100,False,True,"[128, 64, 32]"
28,8,1,"[0.034244340261656014, 0.965755659738344]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
29,9,1,"[0.034244340261656014, 0.965755659738344]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
30,10,1,"[0.034244340261656014, 0.965755659738344]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
31,11,1,"[0.034244340261656014, 0.965755659738344]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,100,False,True,"[128, 64, 32]"
32,12,1,"[0.034244340261656014, 0.965755659738344]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
33,13,1,"[0.034244340261656014, 0.965755659738344]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
34,14,1,"[0.034244340261656014, 0.965755659738344]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
35,15,1,"[0.034244340261656014, 0.965755659738344]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,100,False,True,"[128, 64, 32]"
36,16,1,"[0.034244340261656014, 0.965755659738344]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
37,17,1,"[0.034244340261656014, 0.965755659738344]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
38,18,1,"[0.034244340261656014, 0.965755659738344]",80,0.0008616975441622515,0.9088595083829402,0.06893580353298012,72.70876067063521,0,0.9,100,False,True,"[128, 64, 32]"
39,19,1,"[0.034244340261656014, 0.965755659738344]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,100,False,True,"[128, 64, 32]"
40,0,2,"[0.06872222496646364, 0.9312777750335364]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,100,False,True,"[128, 64, 32]"
41,1,2,"[0.06872222496646364, 0.9312777750335364]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 64, 32]"
