,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes
0,0,0,"[0.0, 1.0]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,100,False,True,"[128, 128, 128]"
1,1,0,"[0.0, 1.0]",80,0.05955896894502997,0.967571629595062,4.764717515602397,77.40573036760496,0,0.9,100,False,True,"[128, 128, 128]"
2,2,0,"[0.0, 1.0]",80,0.08986199924806013,0.9978746598980928,7.18895993984481,79.82997279184742,0,0.9,100,False,True,"[128, 128, 128]"
3,3,0,"[0.0, 1.0]",80,0.08608871114204796,0.9940867811102139,6.887096891363837,79.52694248881711,0,0.9,100,False,True,"[128, 128, 128]"
4,4,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 128, 128]"
5,5,0,"[0.0, 1.0]",80,0.0954808277520105,0.9959910136530337,7.63846622016084,79.67928109224269,0,0.9,100,False,True,"[128, 128, 128]"
6,6,0,"[0.0, 1.0]",80,0.06028031968733596,0.9683292053526378,4.822425574986877,77.46633642821102,0,0.9,100,False,True,"[128, 128, 128]"
7,7,0,"[0.0, 1.0]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,100,False,True,"[128, 128, 128]"
8,8,0,"[0.0, 1.0]",80,0.08911927271012661,0.997117084140517,7.1295418168101286,79.76936673124136,0,0.9,100,False,True,"[128, 128, 128]"
9,9,0,"[0.0, 1.0]",80,0.06028031968733596,0.9683292053526378,4.822425574986877,77.46633642821102,0,0.9,100,False,True,"[128, 128, 128]"
10,10,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 128, 128]"
11,11,0,"[0.0, 1.0]",80,0.08868937654958789,0.9967382962617292,7.095150123967032,79.73906370093833,0,0.9,100,False,True,"[128, 128, 128]"
12,12,0,"[0.0, 1.0]",80,0.08949805669474965,0.9974958720193049,7.159844535579972,79.7996697615444,0,0.9,100,False,True,"[128, 128, 128]"
13,13,0,"[0.0, 1.0]",80,0.08834675823801294,0.9963595083829413,7.067740659041035,79.7087606706353,0,0.9,100,False,True,"[128, 128, 128]"
14,14,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 128, 128]"
15,15,0,"[0.0, 1.0]",80,0.08906794390182296,0.997117084140517,7.125435512145837,79.76936673124136,0,0.9,100,False,True,"[128, 128, 128]"
16,16,0,"[0.0, 1.0]",80,0.08986199924806013,0.9978746598980928,7.18895993984481,79.82997279184742,0,0.9,100,False,True,"[128, 128, 128]"
17,17,0,"[0.0, 1.0]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,100,False,True,"[128, 128, 128]"
18,18,0,"[0.0, 1.0]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,100,False,True,"[128, 128, 128]"
19,19,0,"[0.0, 1.0]",80,0.054649576332041004,0.9626473871708194,4.37196610656328,77.01179097366555,0,0.9,100,False,True,"[128, 128, 128]"
20,0,1,"[0.03417221075865546, 0.9658277892413446]",80,0.0372253339077986,0.9452231447465774,2.9780267126238877,75.61785157972619,0,0.9,100,False,True,"[128, 128, 128]"
21,1,1,"[0.03417221075865546, 0.9658277892413446]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 128, 128]"
22,2,1,"[0.03417221075865546, 0.9658277892413446]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,0,0.9,100,False,True,"[128, 128, 128]"
23,3,1,"[0.03417221075865546, 0.9658277892413446]",80,0.08528031968733543,0.9933292053526384,6.822425574986834,79.46633642821106,0,0.9,100,False,True,"[128, 128, 128]"
24,4,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09021569753386478,0.9982534477768807,7.217255802709182,79.86027582215046,0,0.9,100,False,True,"[128, 128, 128]"
25,5,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,100,False,True,"[128, 128, 128]"
26,6,1,"[0.03417221075865546, 0.9658277892413446]",80,0.08758926749204067,0.9956019326253654,7.007141399363253,79.64815461002924,0,0.9,100,False,True,"[128, 128, 128]"
27,7,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09063256904516079,0.9986322356556686,7.2506055236128635,79.89057885245349,0,0.9,100,False,True,"[128, 128, 128]"
28,8,1,"[0.03417221075865546, 0.9658277892413446]",80,0.08267987877056363,0.9906776902011231,6.6143903016450905,79.25421521608985,0,0.9,100,False,True,"[128, 128, 128]"
29,9,1,"[0.03417221075865546, 0.9658277892413446]",80,0.08230109089177541,0.9902989023223352,6.584087271342033,79.22391218578682,0,0.9,100,False,True,"[128, 128, 128]"
30,10,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,100,False,True,"[128, 128, 128]"
31,11,1,"[0.03417221075865546, 0.9658277892413446]",80,0.08906794390182296,0.997117084140517,7.125435512145837,79.76936673124136,0,0.9,100,False,True,"[128, 128, 128]"
32,12,1,"[0.03417221075865546, 0.9658277892413446]",80,0.08154351572598029,0.9895413265647595,6.523481258078423,79.16330612518075,0,0.9,100,False,True,"[128, 128, 128]"
33,13,1,"[0.03417221075865546, 0.9658277892413446]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,100,False,True,"[128, 128, 128]"
34,14,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,100,False,True,"[128, 128, 128]"
35,15,1,"[0.03417221075865546, 0.9658277892413446]",80,0.08911730933121867,0.997117084140517,7.129384746497493,79.76936673124136,0,0.9,100,False,True,"[128, 128, 128]"
36,16,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,100,False,True,"[128, 128, 128]"
37,17,1,"[0.03417221075865546, 0.9658277892413446]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,0,0.9,100,False,True,"[128, 128, 128]"
38,18,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,100,False,True,"[128, 128, 128]"
39,19,1,"[0.03417221075865546, 0.9658277892413446]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,100,False,True,"[128, 128, 128]"
40,0,2,"[0.06871061084720564, 0.9312893891527944]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,100,False,True,"[128, 128, 128]"
41,1,2,"[0.06871061084720564, 0.9312893891527944]",80,0.08722336616051199,0.9952231447465776,6.977869292840959,79.6178515797262,0,0.9,100,False,True,"[128, 128, 128]"
42,2,2,"[0.06871061084720564, 0.9312893891527944]",80,0.06449806118052581,0.9724958720193049,5.159844894442065,77.7996697615444,0,0.9,100,False,True,"[128, 128, 128]"
