,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper
0,0,0,"[0.0, 1.0]",80,0.5186126669539,0.9726115723732889,41.48901335631199,77.80892578986311,1,0.9,1000,True
1,1,0,"[0.0, 1.0]",80,0.5403976463770924,0.9899308877378574,43.23181171016739,79.1944710190286,1,0.9,1000,True
2,2,0,"[0.0, 1.0]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,1,0.9,1000,True
3,3,0,"[0.0, 1.0]",80,0.5677734012280806,0.9835361658724778,45.421872098246446,78.68289326979823,1,0.9,1000,True
4,4,0,"[0.0, 1.0]",80,0.5443701151051666,0.9983691481308646,43.54960920841333,79.86953185046917,1,0.9,1000,True
5,5,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
6,6,0,"[0.0, 1.0]",80,0.489067212408445,0.943066117827834,39.1253769926756,75.44528942622672,1,0.9,1000,True
7,7,0,"[0.0, 1.0]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
8,8,0,"[0.0, 1.0]",80,0.4549763033175349,0.908975208736924,36.39810426540279,72.71801669895392,1,0.9,1000,True
9,9,0,"[0.0, 1.0]",80,0.5538268903136354,0.9880811724033729,44.30615122509084,79.04649379226983,1,0.9,1000,True
10,10,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,1,0.9,1000,True
11,11,0,"[0.0, 1.0]",80,0.5581885753816063,0.9875167070793855,44.6550860305285,79.00133656635084,1,0.9,1000,True
12,12,0,"[0.0, 1.0]",80,0.5515672124084454,0.9980006534009569,44.12537699267563,79.84005227207655,1,0.9,1000,True
13,13,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
14,14,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,1,0.9,1000,True
15,15,0,"[0.0, 1.0]",80,0.5174763033175362,0.9714752087369252,41.3981042654029,77.71801669895402,1,0.9,1000,True
16,16,0,"[0.0, 1.0]",80,0.48054448513561665,0.8926353903765113,38.44355881084933,71.4108312301209,1,0.9,1000,True
17,17,0,"[0.0, 1.0]",80,0.5235369093781422,0.977535814797531,41.88295275025138,78.20286518380249,1,0.9,1000,True
18,18,0,"[0.0, 1.0]",80,0.4549763033175349,0.908975208736924,36.39810426540279,72.71801669895392,1,0.9,1000,True
19,19,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
20,0,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5557273911525961,0.9704830297197826,44.45819129220769,77.63864237758261,1,0.9,1000,True
21,1,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
22,2,1,"[0.034245167979573186, 0.9657548320204269]",80,0.46349903059026215,0.9036407348115093,37.07992244722097,72.29125878492074,1,0.9,1000,True
23,3,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
24,4,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5333853942266271,0.9873842996460163,42.670831538130166,78.9907439716813,1,0.9,1000,True
25,5,1,"[0.034245167979573186, 0.9657548320204269]",80,0.48054448513571657,0.8926354166237687,38.443558810857326,71.4108333299015,1,0.9,1000,True
26,6,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
27,7,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,1,0.9,1000,True
28,8,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5434099883717097,0.9936394462204563,43.47279906973678,79.4911556976365,1,0.9,1000,True
29,9,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,1,0.9,1000,True
30,10,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
31,11,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
32,12,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5589526481589442,0.9882928195130832,44.71621185271554,79.06342556104666,1,0.9,1000,True
33,13,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5038399396811727,0.9578388451005617,40.30719517449381,76.62710760804494,1,0.9,1000,True
34,14,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
35,15,1,"[0.034245167979573186, 0.9657548320204269]",80,0.4549763033175349,0.908975208736924,36.39810426540279,72.71801669895392,1,0.9,1000,True
36,16,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
37,17,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5475700936429254,0.9978061128871228,43.80560749143403,79.82448903096983,1,0.9,1000,True
38,18,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
39,19,1,"[0.034245167979573186, 0.9657548320204269]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
40,0,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5080112387033712,0.9229756888241587,40.64089909626969,73.8380551059327,1,0.9,1000,True
41,1,2,"[0.06869953645800118, 0.9313004635419989]",80,0.4852793336205655,0.9392782390399542,38.822346689645244,75.14225912319634,1,0.9,1000,True
42,2,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5364156972569185,0.9904146026763192,42.91325578055348,79.23316821410553,1,0.9,1000,True
43,3,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
44,4,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5443701151051666,0.9983691481308646,43.54960920841333,79.86953185046917,1,0.9,1000,True
45,5,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5295842305390283,0.9748738304977435,42.36673844312226,77.98990643981948,1,0.9,1000,True
46,6,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5471969392751923,0.997427325008335,43.775755142015385,79.7941860006668,1,0.9,1000,True
47,7,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5174763033175355,0.8664476966682496,41.398104265402836,69.31581573345997,1,0.9,1000,True
48,8,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
49,9,2,"[0.06869953645800118, 0.9313004635419989]",80,0.4549763033175349,0.908975208736924,36.39810426540279,72.71801669895392,1,0.9,1000,True
50,10,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
51,11,2,"[0.06869953645800118, 0.9313004635419989]",80,0.530733879075112,0.9847327844945006,42.45871032600896,78.77862275956005,1,0.9,1000,True
52,12,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5479363033355392,0.9981849007659107,43.83490426684314,79.85479206127286,1,0.9,1000,True
53,13,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5511609447417378,0.9976218655221689,44.09287557933903,79.80974924177352,1,0.9,1000,True
54,14,2,"[0.06869953645800118, 0.9313004635419989]",80,0.4852793336205655,0.9392782390399542,38.822346689645244,75.14225912319634,1,0.9,1000,True
55,15,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5447481027043992,0.9987479360096525,43.579848216351934,79.8998348807722,1,0.9,1000,True
56,16,2,"[0.06869953645800118, 0.9313004635419989]",80,0.561714093830368,0.9855315328475971,44.937127506429434,78.84252262780777,1,0.9,1000,True
57,17,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5447481027043992,0.9987479360096525,43.579848216351934,79.8998348807722,1,0.9,1000,True
58,18,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,1,0.9,1000,True
59,19,2,"[0.06869953645800118, 0.9313004635419989]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
60,0,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
61,1,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5500054384429136,0.9964855018858053,44.00043507543309,79.71884015086442,1,0.9,1000,True
62,2,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
63,3,3,"[0.10321754033701143, 0.8967824596629885]",80,0.4852793336205655,0.9392782390399542,38.822346689645244,75.14225912319634,1,0.9,1000,True
64,4,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5515539258146237,0.9968435279093804,44.1243140651699,79.74748223275043,1,0.9,1000,True
65,5,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5511922465804392,0.995796608489613,44.095379726435134,79.66372867916904,1,0.9,1000,True
66,6,3,"[0.10321754033701143, 0.8967824596629885]",80,0.551120004777764,0.9953304279114489,44.08960038222112,79.62643423291591,1,0.9,1000,True
67,7,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
68,8,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5641893389006913,0.991776386273157,45.13514711205531,79.34211090185256,1,0.9,1000,True
69,9,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5453039277266931,0.9955333856143955,43.62431421813545,79.64267084915164,1,0.9,1000,True
70,10,3,"[0.10321754033701143, 0.8967824596629885]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,1,0.9,1000,True
71,11,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5511609447417378,0.9976218655221689,44.09287557933903,79.80974924177352,1,0.9,1000,True
72,12,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5443502730093572,0.9983691481308646,43.54802184074858,79.86953185046917,1,0.9,1000,True
73,13,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,1,0.9,1000,True
74,14,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5597092260395307,0.9898199422384074,44.776738083162456,79.1855953790726,1,0.9,1000,True
75,15,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
76,16,3,"[0.10321754033701143, 0.8967824596629885]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,1,0.9,1000,True
77,17,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5714034409149663,0.9815005852313166,45.71227527319731,78.52004681850532,1,0.9,1000,True
78,18,3,"[0.10321754033701143, 0.8967824596629885]",80,0.5479363033355392,0.9981849007659107,43.83490426684314,79.85479206127286,1,0.9,1000,True
79,19,3,"[0.10321754033701143, 0.8967824596629885]",80,0.4748125318240565,0.8947892190842438,37.98500254592452,71.5831375267395,1,0.9,1000,True
80,0,4,"[0.13775843644790742, 0.8622415635520927]",80,0.5796020792924319,0.9749008078268329,46.368166343394556,77.99206462614663,1,0.9,1000,True
81,1,4,"[0.13775843644790742, 0.8622415635520927]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
82,2,4,"[0.13775843644790742, 0.8622415635520927]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,1,0.9,1000,True
83,3,4,"[0.13775843644790742, 0.8622415635520927]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,1,0.9,1000,True
