,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper
0,0,0,"[0.0, 1.0]",80,0.5720124253050274,0.9632438971110636,45.76099402440219,77.05951176888509,2,0.9,1000,True
1,1,0,"[0.0, 1.0]",80,0.5318512011756156,0.9858691481308643,42.54809609404925,78.86953185046914,2,0.9,1000,True
2,2,0,"[0.0, 1.0]",80,0.5479363033355392,0.9981849007659107,43.83490426684314,79.85479206127286,2,0.9,1000,True
3,3,0,"[0.0, 1.0]",80,0.5767547783042095,0.9820077870111856,46.140382264336765,78.56062296089485,2,0.9,1000,True
4,4,0,"[0.0, 1.0]",80,0.5445463520080749,0.9947758098568198,43.56370816064599,79.58206478854558,2,0.9,1000,True
5,5,0,"[0.0, 1.0]",80,0.5612263030216453,0.9719473104690817,44.89810424173162,77.75578483752653,2,0.9,1000,True
6,6,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,True
7,7,0,"[0.0, 1.0]",80,0.5490843813509726,0.9894417175313055,43.92675050807781,79.15533740250444,2,0.9,1000,True
8,8,0,"[0.0, 1.0]",80,0.5494421763862546,0.9921345878541846,43.955374110900365,79.37076702833477,2,0.9,1000,True
9,9,0,"[0.0, 1.0]",80,0.5767368817999017,0.9781603138029655,46.13895054399214,78.25282510423725,2,0.9,1000,True
10,10,0,"[0.0, 1.0]",80,0.5755926333549815,0.9797574304469124,46.04741066839852,78.380594435753,2,0.9,1000,True
11,11,0,"[0.0, 1.0]",80,0.5767290140494179,0.9808427301258508,46.13832112395343,78.46741841006806,2,0.9,1000,True
12,12,0,"[0.0, 1.0]",80,0.5572357623258692,0.9961170071558975,44.57886098606954,79.6893605724718,2,0.9,1000,True
13,13,0,"[0.0, 1.0]",80,0.5451278184690397,0.9991267238884405,43.61022547752317,79.93013791107524,2,0.9,1000,True
14,14,0,"[0.0, 1.0]",80,0.5600765425278764,0.990547070828138,44.806123402230114,79.24376566625104,2,0.9,1000,True
15,15,0,"[0.0, 1.0]",80,0.5884847788371708,0.9719068112042007,47.07878230697366,77.75254489633606,2,0.9,1000,True
16,16,0,"[0.0, 1.0]",80,0.5820359769282731,0.9752297723925125,46.56287815426185,78.018381791401,2,0.9,1000,True
17,17,0,"[0.0, 1.0]",80,0.568599382311349,0.98554735264409,45.48795058490792,78.8437882115272,2,0.9,1000,True
18,18,0,"[0.0, 1.0]",80,0.5799565161891601,0.9758835986174359,46.39652129513281,78.07068788939488,2,0.9,1000,True
19,19,0,"[0.0, 1.0]",80,0.5699384242332707,0.9800647499294609,45.595073938661656,78.40517999435687,2,0.9,1000,True
20,0,1,"[0.034203303581174765, 0.9657966964188253]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,2,0.9,1000,True
21,1,1,"[0.034203303581174765, 0.9657966964188253]",80,0.5532300551741334,0.9959224666420635,44.25840441393067,79.67379733136508,2,0.9,1000,True
22,2,1,"[0.034203303581174765, 0.9657966964188253]",80,0.542267063339895,0.9925030825840924,43.3813650671916,79.40024660672739,2,0.9,1000,True
23,3,1,"[0.034203303581174765, 0.9657966964188253]",80,0.5462367023174953,0.9926976230979264,43.698936185399624,79.41580984783411,2,0.9,1000,True
24,4,1,"[0.034203303581174765, 0.9657966964188253]",80,0.5546013224165011,0.9894896214002452,44.36810579332008,79.15916971201962,2,0.9,1000,True
