,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper
0,0,0,"[0.0, 1.0]",80,0.5383096366508694,0.9923085420702584,43.06477093206955,79.38468336562067,0,0.9,1000,True
1,1,0,"[0.0, 1.0]",80,0.5265672124077696,0.9805661178278342,42.12537699262157,78.44528942622674,0,0.9,1000,True
2,2,0,"[0.0, 1.0]",80,0.5479496860241009,0.9981849007659107,43.83597488192807,79.85479206127286,0,0.9,1000,True
3,3,0,"[0.0, 1.0]",80,0.5479687275209956,0.9981849007659107,43.837498201679644,79.85479206127286,0,0.9,1000,True
4,4,0,"[0.0, 1.0]",80,0.5441552020314873,0.9943970219780318,43.53241616251898,79.55176175824255,0,0.9,1000,True
5,5,0,"[0.0, 1.0]",80,0.5432148352963644,0.9896673200676236,43.45718682370915,79.17338560540989,0,0.9,1000,True
6,6,0,"[0.0, 1.0]",80,0.5371732730144169,0.9911721784338949,42.97386184115335,79.2937742747116,0,0.9,1000,True
7,7,0,"[0.0, 1.0]",80,0.5435926437231192,0.9976115723732889,43.487411497849536,79.80892578986311,0,0.9,1000,True
8,8,0,"[0.0, 1.0]",80,0.5441484245425292,0.9943970219780318,43.53187396340234,79.55176175824255,0,0.9,1000,True
9,9,0,"[0.0, 1.0]",80,0.5460415783375709,0.9962909613719713,43.683326267005675,79.7032769097577,0,0.9,1000,True
10,10,0,"[0.0, 1.0]",80,0.5428484025001419,0.9968539966157131,43.42787220001135,79.74831972925705,0,0.9,1000,True
11,11,0,"[0.0, 1.0]",80,0.5424507636613913,0.9964752087369252,43.39606109291131,79.71801669895402,0,0.9,1000,True
12,12,0,"[0.0, 1.0]",80,0.5451211297779169,0.9991267238884405,43.60969038223335,79.93013791107524,0,0.9,1000,True
13,13,0,"[0.0, 1.0]",80,0.545298041309173,0.9955333856143955,43.623843304733846,79.64267084915164,0,0.9,1000,True
14,14,0,"[0.0, 1.0]",80,0.5390671953460011,0.9930661178278342,43.12537562768009,79.44528942622674,0,0.9,1000,True
15,15,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,0,0.9,1000,True
16,16,0,"[0.0, 1.0]",80,0.5337451405695554,0.9877630875248041,42.69961124556443,79.02104700198433,0,0.9,1000,True
17,17,0,"[0.0, 1.0]",80,0.5468123931186627,0.9970485371295471,43.744991449493014,79.76388297036377,0,0.9,1000,True
18,18,0,"[0.0, 1.0]",80,0.49094788352064994,0.9373945927948949,39.275830681651996,74.99156742359159,0,0.9,1000,True
19,19,0,"[0.0, 1.0]",80,0.5392566041049512,0.9894727795537894,43.1405283283961,79.15782236430316,0,0.9,1000,True
20,0,1,"[0.03421029985764301, 0.965789700142357]",80,0.5460557466301614,0.9962909613719713,43.68445973041292,79.7032769097577,0,0.9,1000,True
21,1,1,"[0.03421029985764301, 0.965789700142357]",80,0.534893984369393,0.9888994511611677,42.791518749551436,79.11195609289342,0,0.9,1000,True
22,2,1,"[0.03421029985764301, 0.965789700142357]",80,0.5428360493646588,0.9968539966157131,43.426883949172705,79.74831972925705,0,0.9,1000,True
23,3,1,"[0.03421029985764301, 0.965789700142357]",80,0.5532244107755783,0.9947653663519074,44.25795286204626,79.58122930815259,0,0.9,1000,True
24,4,1,"[0.03421029985764301, 0.965789700142357]",80,0.5360178678422709,0.9900358147975312,42.881429427381676,79.2028651838025,0,0.9,1000,True
25,5,1,"[0.03421029985764301, 0.965789700142357]",80,0.5430189477173254,0.9932606583416683,43.44151581738603,79.46085266733347,0,0.9,1000,True
26,6,1,"[0.03421029985764301, 0.965789700142357]",80,0.5507764029500959,0.997243077643381,44.06211223600767,79.77944621147049,0,0.9,1000,True
