,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper
0,0,0,"[0.0, 1.0]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,2,0.9,1000,False
1,1,0,"[0.0, 1.0]",80,0.5402034464801155,0.9942024814641979,43.21627571840924,79.53619851713583,2,0.9,1000,False
2,2,0,"[0.0, 1.0]",80,0.5451212570966673,0.9991267238884405,43.60970056773338,79.93013791107524,2,0.9,1000,False
3,3,0,"[0.0, 1.0]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,2,0.9,1000,False
4,4,0,"[0.0, 1.0]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,2,0.9,1000,False
5,5,0,"[0.0, 1.0]",80,0.5524752623608438,0.99285063888341,44.198020988867505,79.4280511106728,2,0.9,1000,False
6,6,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
7,7,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
8,8,0,"[0.0, 1.0]",80,0.5439840299270611,0.9979903602520768,43.51872239416488,79.83922882016614,2,0.9,1000,False
9,9,0,"[0.0, 1.0]",80,0.46747630331753526,0.9214752087369243,37.39810426540282,73.71801669895395,2,0.9,1000,False
10,10,0,"[0.0, 1.0]",80,0.5394460002482684,0.9934449057066221,43.15568001986147,79.47559245652977,2,0.9,1000,False
11,11,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
12,12,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
13,13,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
14,14,0,"[0.0, 1.0]",80,0.5479363033355392,0.9981849007659107,43.83490426684314,79.85479206127286,2,0.9,1000,False
15,15,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
16,16,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
17,17,0,"[0.0, 1.0]",80,0.5265672124084453,0.9805661178278342,42.12537699267562,78.44528942622674,2,0.9,1000,False
18,18,0,"[0.0, 1.0]",80,0.5441733772329256,0.9932415891534602,43.53387017863405,79.45932713227681,2,0.9,1000,False
19,19,0,"[0.0, 1.0]",80,0.5163399396811726,0.9703388451005616,41.30719517449381,77.62710760804492,2,0.9,1000,False
20,0,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
21,1,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
22,2,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
23,3,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
24,4,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
25,5,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5738966557210703,0.9785620833669985,45.91173245768562,78.28496666935987,2,0.9,1000,False
26,6,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5254308487720817,0.9794297541914705,42.03446790176653,78.35438033531764,2,0.9,1000,False
27,7,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5699174509700038,0.9800109238142468,45.5933960776003,78.40087390513975,2,0.9,1000,False
28,8,1,"[0.03418254360771056, 0.9658174563922894]",80,0.49361266695389966,0.9476115723732887,39.48901335631197,75.8089257898631,2,0.9,1000,False
29,9,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5568512011756155,0.9912108362962521,44.54809609404924,79.29686690370016,2,0.9,1000,False
30,10,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
31,11,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
32,12,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
33,13,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5439840299270611,0.9979903602520768,43.51872239416488,79.83922882016614,2,0.9,1000,False
34,14,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5666739724741341,0.9823698973130887,45.333917797930724,78.58959178504709,2,0.9,1000,False
35,15,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5208853942266272,0.9748842996460162,41.67083153813017,77.9907439716813,2,0.9,1000,False
36,16,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5702916749945958,0.9798911709398936,45.62333399956766,78.39129367519149,2,0.9,1000,False
37,17,1,"[0.03418254360771056, 0.9658174563922894]",80,0.48565812149935395,0.939657026918743,38.85264971994832,75.17256215349944,2,0.9,1000,False
38,18,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,2,0.9,1000,False
39,19,1,"[0.03418254360771056, 0.9658174563922894]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
40,0,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
41,1,2,"[0.06868979389975811, 0.9313102061002418]",80,0.548677037607548,0.9977982452510339,43.89416300860385,79.82385962008271,2,0.9,1000,False
42,2,2,"[0.06868979389975811, 0.9313102061002418]",80,0.565765269940542,0.9851975568079185,45.261221595243356,78.81580454463348,2,0.9,1000,False
43,3,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5451212570966673,0.9991267238884405,43.60970056773338,79.93013791107524,2,0.9,1000,False
44,4,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5572292563303423,0.992649901816718,44.57834050642738,79.41199214533744,2,0.9,1000,False
45,5,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
46,6,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
47,7,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
48,8,2,"[0.06868979389975811, 0.9313102061002418]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,2,0.9,1000,False
49,9,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
50,10,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5381240628112287,0.9777984819583088,43.04992502489829,78.2238785566647,2,0.9,1000,False
51,11,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
52,12,2,"[0.06868979389975811, 0.9313102061002418]",80,0.544723493177002,0.9987479360096525,43.577879454160154,79.8998348807722,2,0.9,1000,False
53,13,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5435862748519765,0.9976115723732889,43.486901988158124,79.80892578986311,2,0.9,1000,False
54,14,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
55,15,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
56,16,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
57,17,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5475579146023982,0.9966506800625512,43.804633168191856,79.73205440500409,2,0.9,1000,False
58,18,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5568512011711588,0.9911122942520624,44.548096093692706,79.28898354016499,2,0.9,1000,False
59,19,2,"[0.06868979389975811, 0.9313102061002418]",80,0.5644006052466526,0.9690999599434029,45.15204841973221,77.52799679547223,2,0.9,1000,False
60,0,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5197490305902634,0.9737479360096526,41.57992244722108,77.8998348807722,2,0.9,1000,False
61,1,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5277035760448089,0.9817024814641979,42.21628608358471,78.53619851713583,2,0.9,1000,False
62,2,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
63,3,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,2,0.9,1000,False
64,4,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5492434154152639,0.9957279261282295,43.939473233221115,79.65823409025836,2,0.9,1000,False
65,5,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,2,0.9,1000,False
66,6,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
67,7,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5507707247609355,0.9960876448188094,44.06165798087484,79.68701158550475,2,0.9,1000,False
68,8,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
69,9,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5479363033355392,0.9981849007659107,43.83490426684314,79.85479206127286,2,0.9,1000,False
70,10,3,"[0.1031956259311669, 0.8968043740688332]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,2,0.9,1000,False
