,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation
0,0,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
1,1,0,"[0.0, 1.0]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
2,2,0,"[0.0, 1.0]",80,0.16116984694493905,0.993537882684363,12.893587755595124,79.48303061474904,0,0.9,1000,True,False
3,3,0,"[0.0, 1.0]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,True,False
4,4,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
5,5,0,"[0.0, 1.0]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,True,False
6,6,0,"[0.0, 1.0]",80,0.15978105553040742,0.992148993795474,12.782484442432594,79.37191950363793,0,0.9,1000,True,False
7,7,0,"[0.0, 1.0]",80,0.13690100052659343,0.9692323271288068,10.952080042127475,77.53858617030454,0,0.9,1000,True,False
8,8,0,"[0.0, 1.0]",80,0.17500997047867414,0.9935567534573098,14.000797638293932,79.48454027658478,0,0.9,1000,True,False
9,9,0,"[0.0, 1.0]",80,0.161192861718179,0.993537882684363,12.895428937454321,79.48303061474904,0,0.9,1000,True,False
10,10,0,"[0.0, 1.0]",80,0.16327762680705385,0.9956212160176964,13.062210144564308,79.64969728141571,0,0.9,1000,True,False
11,11,0,"[0.0, 1.0]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,True,False
12,12,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
13,13,0,"[0.0, 1.0]",80,0.17500997047867414,0.9935567534573098,14.000797638293932,79.48454027658478,0,0.9,1000,True,False
14,14,0,"[0.0, 1.0]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,True,False
15,15,0,"[0.0, 1.0]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
16,16,0,"[0.0, 1.0]",80,0.16605563801055587,0.998398993795474,13.28445104084447,79.87191950363793,0,0.9,1000,True,False
17,17,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
18,18,0,"[0.0, 1.0]",80,0.16324150389528966,0.9956212160176964,13.059320311623173,79.64969728141571,0,0.9,1000,True,False
19,19,0,"[0.0, 1.0]",80,0.15426211163770456,0.9865934382399185,12.340968931016365,78.92747505919348,0,0.9,1000,True,False
20,0,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1625936446647287,0.9949267715732517,13.007491573178296,79.59414172586014,0,0.9,1000,True,False
21,1,1,"[0.03424878493307604, 0.9657512150669241]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,True,False
22,2,1,"[0.03424878493307604, 0.9657512150669241]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,True,False
23,3,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
24,4,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
25,5,1,"[0.03424878493307604, 0.9657512150669241]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,True,False
26,6,1,"[0.03424878493307604, 0.9657512150669241]",80,0.17500997047867414,0.9935567534573098,14.000797638293932,79.48454027658478,0,0.9,1000,True,False
27,7,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1691213143282324,0.994588984737503,13.529705146258593,79.56711877900024,0,0.9,1000,True,False
28,8,1,"[0.03424878493307604, 0.9657512150669241]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
29,9,1,"[0.03424878493307604, 0.9657512150669241]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,True,False
30,10,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1684370766992798,0.9938945402930586,13.474966135942383,79.51156322344468,0,0.9,1000,True,False
31,11,1,"[0.03424878493307604, 0.9657512150669241]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
32,12,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
33,13,1,"[0.03424878493307604, 0.9657512150669241]",80,0.15842877830436844,0.9907601049065852,12.674302264349475,79.26080839252681,0,0.9,1000,True,False
34,14,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1771283986931853,0.9956400867906432,14.170271895454825,79.65120694325145,0,0.9,1000,True,False
35,15,1,"[0.03424878493307604, 0.9657512150669241]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,True,False
36,16,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1771283986931853,0.9956400867906432,14.170271895454825,79.65120694325145,0,0.9,1000,True,False
37,17,1,"[0.03424878493307604, 0.9657512150669241]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,True,False
38,18,1,"[0.03424878493307604, 0.9657512150669241]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,True,False
39,19,1,"[0.03424878493307604, 0.9657512150669241]",80,0.1591111935648726,0.9914545493510296,12.728895485189808,79.31636394808237,0,0.9,1000,True,False
40,0,2,"[0.0686404313639979, 0.9313595686360021]",80,0.18613013315504404,0.9907978464524788,14.890410652403522,79.2638277161983,0,0.9,1000,True,False
41,1,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1535676671932601,0.9858989937954739,12.285413375460807,78.87191950363791,0,0.9,1000,True,False
42,2,2,"[0.0686404313639979, 0.9313595686360021]",80,0.16324150389528966,0.9956212160176964,13.059320311623173,79.64969728141571,0,0.9,1000,True,False
43,3,2,"[0.0686404313639979, 0.9313595686360021]",80,0.16777941901395307,0.9932000958486142,13.422353521116246,79.45600766788914,0,0.9,1000,True,False
44,4,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
45,5,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
46,6,2,"[0.0686404313639979, 0.9313595686360021]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,True,False
47,7,2,"[0.0686404313639979, 0.9313595686360021]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
48,8,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
49,9,2,"[0.0686404313639979, 0.9313595686360021]",80,0.18305723093072832,0.99460785551045,14.644578474458266,79.568628440836,0,0.9,1000,True,False
50,10,2,"[0.0686404313639979, 0.9313595686360021]",80,0.17433859168911164,0.9928623090128653,13.947087335128932,79.42898472102922,0,0.9,1000,True,False
51,11,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
52,12,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
53,13,2,"[0.0686404313639979, 0.9313595686360021]",80,0.18828988941548253,0.9928811797858123,15.063191153238602,79.43049438286498,0,0.9,1000,True,False
54,14,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
55,15,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1684370766992798,0.9938945402930586,13.474966135942383,79.51156322344468,0,0.9,1000,True,False
56,16,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1684370766992798,0.9938945402930586,13.474966135942383,79.51156322344468,0,0.9,1000,True,False
57,17,2,"[0.0686404313639979, 0.9313595686360021]",80,0.16327762680705385,0.9956212160176964,13.062210144564308,79.64969728141571,0,0.9,1000,True,False
58,18,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1577207215235376,0.9900656604621407,12.61765772188301,79.20525283697125,0,0.9,1000,True,False
59,19,2,"[0.0686404313639979, 0.9313595686360021]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
60,0,3,"[0.10314198279020782, 0.8968580172097922]",80,0.17054517167869593,0.9959778736263919,13.643613734295675,79.67822989011135,0,0.9,1000,True,False
61,1,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1934738975656369,0.9886180391491572,15.477911805250953,79.08944313193258,0,0.9,1000,True,False
62,2,3,"[0.10314198279020782, 0.8968580172097922]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
63,3,3,"[0.10314198279020782, 0.8968580172097922]",80,0.10389053423702518,0.9293112069597249,8.311242738962015,74.344896556778,0,0.9,1000,True,False
64,4,3,"[0.10314198279020782, 0.8968580172097922]",80,0.13583497868146993,0.961255651404169,10.866798294517595,76.90045211233353,0,0.9,1000,True,False
65,5,3,"[0.10314198279020782, 0.8968580172097922]",80,0.18613013315504404,0.9907978464524788,14.890410652403522,79.2638277161983,0,0.9,1000,True,False
66,6,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
67,7,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1823367639681585,0.9939134110660055,14.586941117452682,79.51307288528044,0,0.9,1000,True,False
68,8,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
69,9,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1691213143282324,0.994588984737503,13.529705146258593,79.56711877900024,0,0.9,1000,True,False
70,10,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1608332775546824,0.9862556514041698,12.866662204374592,78.90045211233358,0,0.9,1000,True,False
71,11,3,"[0.10314198279020782, 0.8968580172097922]",80,0.16464216718382102,0.9970101049065851,13.17137337470568,79.76080839252681,0,0.9,1000,True,False
72,12,3,"[0.10314198279020782, 0.8968580172097922]",80,0.161192861718179,0.993537882684363,12.895428937454321,79.48303061474904,0,0.9,1000,True,False
73,13,3,"[0.10314198279020782, 0.8968580172097922]",80,0.17266488941548247,0.9980612069597253,13.813191153238597,79.84489655677802,0,0.9,1000,True,False
74,14,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1684370766992798,0.9938945402930586,13.474966135942383,79.51156322344468,0,0.9,1000,True,False
75,15,3,"[0.10314198279020782, 0.8968580172097922]",80,0.17266488941548247,0.9980612069597253,13.813191153238597,79.84489655677802,0,0.9,1000,True,False
76,16,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
77,17,3,"[0.10314198279020782, 0.8968580172097922]",80,0.1809217678192437,0.9925245221771165,14.473741425539497,79.40196177416932,0,0.9,1000,True,False
78,18,3,"[0.10314198279020782, 0.8968580172097922]",80,0.14972386757035885,0.9751445402930583,11.977909405628708,78.01156322344467,0,0.9,1000,True,False
79,19,3,"[0.10314198279020782, 0.8968580172097922]",80,0.16327762680705385,0.9956212160176964,13.062210144564308,79.64969728141571,0,0.9,1000,True,False
80,0,4,"[0.1376515221523138, 0.8623484778476862]",80,0.18754509733523056,0.9921867353413678,15.003607786818446,79.37493882730942,0,0.9,1000,True,False
81,1,4,"[0.1376515221523138, 0.8623484778476862]",80,0.17266488941548247,0.9980612069597253,13.813191153238597,79.84489655677802,0,0.9,1000,True,False
82,2,4,"[0.1376515221523138, 0.8623484778476862]",80,0.14416661088803712,0.9695889847375028,11.533328871042968,77.56711877900023,0,0.9,1000,True,False
83,3,4,"[0.1376515221523138, 0.8623484778476862]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
84,4,4,"[0.1376515221523138, 0.8623484778476862]",80,0.12157284313762931,0.9400845312350864,9.725827451010344,75.20676249880691,0,0.9,1000,True,False
85,5,4,"[0.1376515221523138, 0.8623484778476862]",80,0.17266488941548247,0.9980612069597253,13.813191153238597,79.84489655677802,0,0.9,1000,True,False
86,6,4,"[0.1376515221523138, 0.8623484778476862]",80,0.16324150389528966,0.9956212160176964,13.059320311623173,79.64969728141571,0,0.9,1000,True,False
87,7,4,"[0.1376515221523138, 0.8623484778476862]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
88,8,4,"[0.1376515221523138, 0.8623484778476862]",80,0.1771283986931853,0.9956400867906432,14.170271895454825,79.65120694325145,0,0.9,1000,True,False
89,9,4,"[0.1376515221523138, 0.8623484778476862]",80,0.16499991346225304,0.9904223180708364,13.199993076980244,79.23378544566691,0,0.9,1000,True,False
90,10,4,"[0.1376515221523138, 0.8623484778476862]",80,0.1726405342370256,0.9980612069597253,13.811242738962049,79.84489655677802,0,0.9,1000,True,False
91,11,4,"[0.1376515221523138, 0.8623484778476862]",80,0.16605563801055587,0.998398993795474,13.28445104084447,79.87191950363793,0,0.9,1000,True,False
92,12,4,"[0.1376515221523138, 0.8623484778476862]",80,0.16605563801055587,0.998398993795474,13.28445104084447,79.87191950363793,0,0.9,1000,True,False
93,13,4,"[0.1376515221523138, 0.8623484778476862]",80,0.1531960897925811,0.9786167625152806,12.255687183406486,78.28934100122245,0,0.9,1000,True,False
94,14,4,"[0.1376515221523138, 0.8623484778476862]",80,0.0900016453481363,0.9154223180708356,7.200131627850904,73.23378544566685,0,0.9,1000,True,False
95,15,4,"[0.1376515221523138, 0.8623484778476862]",80,0.1650014078749103,0.9904223180708364,13.200112629992825,79.23378544566691,0,0.9,1000,True,False
96,16,4,"[0.1376515221523138, 0.8623484778476862]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
97,17,4,"[0.1376515221523138, 0.8623484778476862]",80,0.1788645376265879,0.9904411888437832,14.309163010127033,79.23529510750265,0,0.9,1000,True,False
98,18,4,"[0.1376515221523138, 0.8623484778476862]",80,0.16605563801055587,0.998398993795474,13.28445104084447,79.87191950363793,0,0.9,1000,True,False
99,19,4,"[0.1376515221523138, 0.8623484778476862]",80,0.1618660905018739,0.9942323271288075,12.94928724014991,79.5385861703046,0,0.9,1000,True,False
100,0,5,"[0.17217320890078544, 0.8278267910992146]",80,0.15319438866581495,0.9786167625152806,12.255551093265195,78.28934100122245,0,0.9,1000,True,False
101,1,5,"[0.17217320890078544, 0.8278267910992146]",80,0.1625936446647287,0.9949267715732517,13.007491573178296,79.59414172586014,0,0.9,1000,True,False
102,2,5,"[0.17217320890078544, 0.8278267910992146]",80,0.17054517167869593,0.9959778736263919,13.643613734295675,79.67822989011135,0,0.9,1000,True,False
103,3,5,"[0.17217320890078544, 0.8278267910992146]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
104,4,5,"[0.17217320890078544, 0.8278267910992146]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,True,False
105,5,5,"[0.17217320890078544, 0.8278267910992146]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,True,False
106,6,5,"[0.17217320890078544, 0.8278267910992146]",80,0.16532284313762963,0.9838345312350876,13.22582745101037,78.70676249880701,0,0.9,1000,True,False
107,7,5,"[0.17217320890078544, 0.8278267910992146]",80,0.17266488941548247,0.9980612069597253,13.813191153238597,79.84489655677802,0,0.9,1000,True,False
108,8,5,"[0.17217320890078544, 0.8278267910992146]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,True,False
