,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation
0,0,0,"[0.0, 1.0]",80,0.11708497868146968,0.9425056514041685,9.366798294517574,75.40045211233348,0,0.9,1000,False,True
1,1,0,"[0.0, 1.0]",80,0.05634544497103764,0.8886767715732503,4.507635597683011,71.09414172586003,0,0.9,1000,False,True
2,2,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
3,3,0,"[0.0, 1.0]",80,0.1632549487211948,0.9956212160176963,13.060395897695585,79.6496972814157,0,0.9,1000,False,True
4,4,0,"[0.0, 1.0]",80,0.14936609104416265,0.9817323271288074,11.949287283533012,78.5385861703046,0,0.9,1000,False,True
5,5,0,"[0.0, 1.0]",80,0.13756053548862857,0.9699267715732514,11.004842839090285,77.59414172586011,0,0.9,1000,False,True
6,6,0,"[0.0, 1.0]",80,0.16327762680705385,0.9956212160176964,13.062210144564308,79.64969728141571,0,0.9,1000,False,True
7,7,0,"[0.0, 1.0]",80,0.16635544089208204,0.9918112069597254,13.308435271366562,79.34489655677802,0,0.9,1000,False,True
8,8,0,"[0.0, 1.0]",80,0.17054517167869593,0.9959778736263919,13.643613734295675,79.67822989011135,0,0.9,1000,False,True
9,9,0,"[0.0, 1.0]",80,0.16010544500404328,0.9855612069597253,12.808435600323463,78.84489655677802,0,0.9,1000,False,True
10,10,0,"[0.0, 1.0]",80,0.1691213143282324,0.994588984737503,13.529705146258593,79.56711877900024,0,0.9,1000,False,True
11,11,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
12,12,0,"[0.0, 1.0]",80,0.1691213143282324,0.994588984737503,13.529705146258593,79.56711877900024,0,0.9,1000,False,True
13,13,0,"[0.0, 1.0]",80,0.13444608979258105,0.9598667625152801,10.755687183406485,76.78934100122241,0,0.9,1000,False,True
14,14,0,"[0.0, 1.0]",80,0.11328988941548213,0.9456212160176951,9.06319115323857,75.64969728141561,0,0.9,1000,False,True
15,15,0,"[0.0, 1.0]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
16,16,0,"[0.0, 1.0]",80,0.1677658107970177,0.9932000958486142,13.421264863761415,79.45600766788914,0,0.9,1000,False,True
17,17,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
18,18,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
19,19,0,"[0.0, 1.0]",80,0.17500997047867414,0.9935567534573098,14.000797638293932,79.48454027658478,0,0.9,1000,False,True
20,0,1,"[0.034248673934655346, 0.9657513260653448]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
21,1,1,"[0.034248673934655346, 0.9657513260653448]",80,0.14522230467722244,0.9775656604621406,11.617784374177795,78.20525283697124,0,0.9,1000,False,True
22,2,1,"[0.034248673934655346, 0.9657513260653448]",80,0.05634544497103764,0.8886767715732503,4.507635597683011,71.09414172586003,0,0.9,1000,False,True
23,3,1,"[0.034248673934655346, 0.9657513260653448]",80,0.16464216718382102,0.9970101049065851,13.17137337470568,79.76080839252681,0,0.9,1000,False,True
