,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation
0,0,0,"[0.0, 1.0]",80,0.11190100052659324,0.9442323271288062,8.95208004212746,75.5385861703045,0,0.9,1000,False,True
1,1,0,"[0.0, 1.0]",80,0.05634544497103764,0.8886767715732503,4.507635597683011,71.09414172586003,0,0.9,1000,False,True
2,0,1,"[1.0, 0.0]",5,0.16544390089332356,0.38949275362318836,0.8272195044666177,1.947463768115942,0,0.9,1000,False,True
3,1,1,"[1.0, 0.0]",22,0.3521842721767657,0.6181447628458495,7.748053987888845,13.59918478260869,0,0.9,1000,False,True
