,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
0,0,0,"[0.0, 1.0]",80,0.09590903005967641,0.9963698015318213,7.672722404774113,79.7095841225457,0,0.9,1000,False,True,"[128, 128]",False
1,1,0,"[0.0, 1.0]",80,0.08908118574424255,0.997117084140517,7.126494859539404,79.76936673124136,0,0.9,1000,False,True,"[128, 128]",False
2,2,0,"[0.0, 1.0]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,1000,False,True,"[128, 128]",False
3,3,0,"[0.0, 1.0]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]",False
4,4,0,"[0.0, 1.0]",80,0.0951131745810319,0.9956122257742457,7.609053966482552,79.64897806193966,0,0.9,1000,False,True,"[128, 128]",False
5,5,0,"[0.0, 1.0]",80,0.0857101483431386,0.9937079932314262,6.856811867451088,79.4966394585141,0,0.9,1000,False,True,"[128, 128]",False
6,6,0,"[0.0, 1.0]",80,0.07358897027143488,0.9815867811102137,5.88711762171479,78.5269424888171,0,0.9,1000,False,True,"[128, 128]",False
7,7,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
8,8,0,"[0.0, 1.0]",80,0.08798105330204294,0.9959807205041533,7.038484264163435,79.67845764033227,0,0.9,1000,False,True,"[128, 128]",False
9,9,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",False
10,10,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",False
11,11,0,"[0.0, 1.0]",80,0.0811647278471924,0.9891625386859715,6.493178227775393,79.13300309487772,0,0.9,1000,False,True,"[128, 128]",False
12,12,0,"[0.0, 1.0]",80,0.1015260284009772,0.9944861552867621,8.122082272078176,79.55889242294097,0,0.9,1000,False,True,"[128, 128]",False
13,13,0,"[0.0, 1.0]",80,0.09627655092221314,0.9967485894106092,7.7021240737770515,79.73988715284874,0,0.9,1000,False,True,"[128, 128]",False
14,14,0,"[0.0, 1.0]",80,0.09473598782407869,0.9952334378954578,7.5788790259262955,79.61867503163663,0,0.9,1000,False,True,"[128, 128]",False
15,15,0,"[0.0, 1.0]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",False
16,16,0,"[0.0, 1.0]",80,0.09288058280384938,0.9933394985015184,7.43044662430795,79.46715988012147,0,0.9,1000,False,True,"[128, 128]",False
17,17,0,"[0.0, 1.0]",80,0.06712300704645169,0.9675819227439421,5.369840563716135,77.40655381951537,0,0.9,1000,False,True,"[128, 128]",False
18,18,0,"[0.0, 1.0]",80,0.0837781599269883,0.9918140538374868,6.7022527941590635,79.34512430699894,0,0.9,1000,False,True,"[128, 128]",False
19,19,0,"[0.0, 1.0]",80,0.08870043896081181,0.9967382962617292,7.096035116864945,79.73906370093833,0,0.9,1000,False,True,"[128, 128]",False
20,0,1,"[0.03426066214012345, 0.9657393378598765]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
21,1,1,"[0.03426066214012345, 0.9657393378598765]",80,0.08796802644667315,0.9959807205041533,7.037442115733852,79.67845764033227,0,0.9,1000,False,True,"[128, 128]",False
22,2,1,"[0.03426066214012345, 0.9657393378598765]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
23,3,1,"[0.03426066214012345, 0.9657393378598765]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,1000,False,True,"[128, 128]",False
24,4,1,"[0.03426066214012345, 0.9657393378598765]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,1000,False,True,"[128, 128]",False
25,5,1,"[0.03426066214012345, 0.9657393378598765]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",False
26,6,1,"[0.03426066214012345, 0.9657393378598765]",80,0.08718725083590126,0.9952231447465776,6.9749800668721,79.6178515797262,0,0.9,1000,False,True,"[128, 128]",False
27,7,1,"[0.03426066214012345, 0.9657393378598765]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
28,8,1,"[0.03426066214012345, 0.9657393378598765]",80,0.08949805669474965,0.9974958720193049,7.159844535579972,79.7996697615444,0,0.9,1000,False,True,"[128, 128]",False
29,9,1,"[0.03426066214012345, 0.9657393378598765]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",False
30,10,1,"[0.03426066214012345, 0.9657393378598765]",80,0.09063256904516079,0.9986322356556686,7.2506055236128635,79.89057885245349,0,0.9,1000,False,True,"[128, 128]",False
31,11,1,"[0.03426066214012345, 0.9657393378598765]",80,0.08795633589400882,0.988415256077276,7.0365068715207055,79.07322048618208,0,0.9,1000,False,True,"[128, 128]",False
32,12,1,"[0.03426066214012345, 0.9657393378598765]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
33,13,1,"[0.03426066214012345, 0.9657393378598765]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",False
34,14,1,"[0.03426066214012345, 0.9657393378598765]",80,0.08909269953037206,0.9895516197136395,7.127415962429765,79.16412957709116,0,0.9,1000,False,True,"[128, 128]",False
35,15,1,"[0.03426066214012345, 0.9657393378598765]",80,0.09553184274292373,0.9959910136530337,7.642547419433898,79.67928109224269,0,0.9,1000,False,True,"[128, 128]",False
36,16,1,"[0.03426066214012345, 0.9657393378598765]",80,0.08642941985759599,0.9944655689890018,6.914353588607679,79.55724551912014,0,0.9,1000,False,True,"[128, 128]",False
37,17,1,"[0.03426066214012345, 0.9657393378598765]",80,0.08796802644667315,0.9959807205041533,7.037442115733852,79.67845764033227,0,0.9,1000,False,True,"[128, 128]",False
38,18,1,"[0.03426066214012345, 0.9657393378598765]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
39,19,1,"[0.03426066214012345, 0.9657393378598765]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
40,0,2,"[0.0686956421304891, 0.9313043578695109]",80,0.0610508871997157,0.9690867811102135,4.884070975977256,77.52694248881708,0,0.9,1000,False,True,"[128, 128]",False
41,1,2,"[0.0686956421304891, 0.9313043578695109]",80,0.0954808277520105,0.9959910136530337,7.63846622016084,79.67928109224269,0,0.9,1000,False,True,"[128, 128]",False
42,2,2,"[0.0686956421304891, 0.9313043578695109]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
43,3,2,"[0.0686956421304891, 0.9313043578695109]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
44,4,2,"[0.0686956421304891, 0.9313043578695109]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
45,5,2,"[0.0686956421304891, 0.9313043578695109]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",False
46,6,2,"[0.0686956421304891, 0.9313043578695109]",80,0.08948468378951277,0.9974958720193049,7.158774703161021,79.7996697615444,0,0.9,1000,False,True,"[128, 128]",False
47,7,2,"[0.0686956421304891, 0.9313043578695109]",80,0.06979912751303691,0.9777989023223348,5.583930201042953,78.22391218578679,0,0.9,1000,False,True,"[128, 128]",False
48,8,2,"[0.0686956421304891, 0.9313043578695109]",80,0.09439573372756759,0.99485465001667,7.551658698205407,79.5883720013336,0,0.9,1000,False,True,"[128, 128]",False
49,9,2,"[0.0686956421304891, 0.9313043578695109]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
50,10,2,"[0.0686956421304891, 0.9313043578695109]",80,0.08034230364077409,0.9808394985015181,6.4273842912619275,78.46715988012144,0,0.9,1000,False,True,"[128, 128]",False
51,11,2,"[0.0686956421304891, 0.9313043578695109]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]",False
52,12,2,"[0.0686956421304891, 0.9313043578695109]",80,0.0845738187562833,0.9925716295950625,6.765905500502663,79.405730367605,0,0.9,1000,False,True,"[128, 128]",False
53,13,2,"[0.0686956421304891, 0.9313043578695109]",80,0.09025538172548343,0.9982534477768807,7.220430538038674,79.86027582215046,0,0.9,1000,False,True,"[128, 128]",False
54,14,2,"[0.0686956421304891, 0.9313043578695109]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
55,15,2,"[0.0686956421304891, 0.9313043578695109]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]",False
56,16,2,"[0.0686956421304891, 0.9313043578695109]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]",False
57,17,2,"[0.0686956421304891, 0.9313043578695109]",80,0.08717425907101321,0.9952231447465776,6.973940725681057,79.6178515797262,0,0.9,1000,False,True,"[128, 128]",False
58,18,2,"[0.0686956421304891, 0.9313043578695109]",80,0.09063256904516079,0.9986322356556686,7.2506055236128635,79.89057885245349,0,0.9,1000,False,True,"[128, 128]",False
59,19,2,"[0.0686956421304891, 0.9313043578695109]",80,0.08834675823801294,0.9963595083829413,7.067740659041035,79.7087606706353,0,0.9,1000,False,True,"[128, 128]",False
60,0,3,"[0.10316089698938634, 0.8968391030106136]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",False
